rank,name,postcode,address,rating,reviewCount,removedRange,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url
28,FKK World Gießen | FKK Club | Bordell bei Frankfurt,35390,,4.5,72,11–20,11,20,15.5,17.71,3.88,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/FKK+World+Gie%C3%9Fen+%7C+FKK+Club+%7C+Bordell+bei+Frankfurt/data=!4m7!3m6!1s0x47bcf7782a5e0553:0x98cdb498b9deddbe!8m2!3d50.5275826!4d8.7462943!16s%2Fg%2F1tdklb6k!19sChIJUwVeKnj3vEcRvt3euZi0zZg?authuser=0&hl=de&rclk=1
29,Coffeelounge Bäckerei Westend,35390,,4.6,58,11–20,11,20,15.5,21.09,3.841,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Coffeelounge+B%C3%A4ckerei+Westend/data=!4m7!3m6!1s0x47bc58de8c79a7e7:0x887c33c57643cd9d!8m2!3d50.58877!4d8.6610055!16s%2Fg%2F1td6fllz!19sChIJ56d5jN5YvEcRnc1DdsUzfIg?authuser=0&hl=de&rclk=1
30,Diyar Sofrasi,35390,,4.2,1810,6–10,6,10,8,0.44,4.186,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Diyar+Sofrasi/data=!4m7!3m6!1s0x47bc58de827079a9:0x30dc5d4897b3123d!8m2!3d50.5890214!4d8.6623861!16s%2Fg%2F1tltlh0z!19sChIJqXlwgt5YvEcRPRKzl0hd3DA?authuser=0&hl=de&rclk=1
31,J. H. Fuhr Spiel-Freizeit-Hobby,35390,,4.6,1436,6–10,6,10,8,0.55,4.58,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/J.+H.+Fuhr+Spiel-Freizeit-Hobby/data=!4m7!3m6!1s0x47bc58c1f9861d5d:0x6079a2441df18794!8m2!3d50.585682!4d8.6751125!16s%2Fg%2F1tt8bch9!19sChIJXR2G-cFYvEcRlIfxHUSieWA?authuser=0&hl=de&rclk=1
32,REYNA®,35390,,4.7,408,6–10,6,10,8,1.92,4.629,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/REYNA%C2%AE/data=!4m7!3m6!1s0x47bc5f4fe8387e9d:0xbc658b50aa8a758d!8m2!3d50.613108!4d8.7025799!16s%2Fg%2F11c1q8s4x5!19sChIJnX446E9fvEcRjXWKqlCLZbw?authuser=0&hl=de&rclk=1
33,Stockholm Hairsaloon Friseursalon und Kosmetikstudio Gießen,35390,,4.8,297,6–10,6,10,8,2.62,4.7,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Stockholm+Hairsaloon+Friseursalon+und+Kosmetikstudio+Gie%C3%9Fen/data=!4m7!3m6!1s0x47bc58e5bb70e59b:0xea08051e6fa36d20!8m2!3d50.57887!4d8.66384!16s%2Fg%2F1ptww09w5!19sChIJm-Vwu-VYvEcRIG2jbx4FCOo?authuser=0&hl=de&rclk=1
34,CRUNCHY KEBAB,35390,,4.5,276,6–10,6,10,8,2.82,4.401,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/CRUNCHY+KEBAB/data=!4m7!3m6!1s0x47bc59d30236edeb:0x7782f8e3ea745e07!8m2!3d50.5859243!4d8.6764657!16s%2Fg%2F11y3l03spk!19sChIJ6-02AtNZvEcRB1506uP4gnc?authuser=0&hl=de&rclk=1
35,TROPICANA,35390,,4.3,225,6–10,6,10,8,3.43,4.187,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/TROPICANA/data=!4m7!3m6!1s0x47bc58ee9f3d5261:0xb968136b9cdcfced!8m2!3d50.5786066!4d8.672307!16s%2Fg%2F1tc_7sgb!19sChIJYVI9n-5YvEcR7fzcnGsTaLk?authuser=0&hl=de&rclk=1
36,Beklen's Grill Gießen,35390,,4.6,201,6–10,6,10,8,3.83,4.462,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Beklen%27s+Grill+Gie%C3%9Fen/data=!4m7!3m6!1s0x47bc5948252201ab:0x5ba1b5f918fc85a8!8m2!3d50.5761207!4d8.6631512!16s%2Fg%2F11gy3jmqqg!19sChIJqwEiJUhZvEcRqIX8GPm1oVs?authuser=0&hl=de&rclk=1
37,at Eleven.,35390,,4.8,170,6–10,6,10,8,4.49,4.629,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/at+Eleven./data=!4m7!3m6!1s0x47bc59004221fa43:0xa34bbea71c691bdb!8m2!3d50.5858469!4d8.6742091!16s%2Fg%2F11n3dycnm4!19sChIJQ_ohQgBZvEcR2xtpHKe-S6M?authuser=0&hl=de&rclk=1
38,Balkan Grill Giessen,35390,,4.3,96,6–10,6,10,8,7.69,4.046,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Balkan+Grill+Giessen/data=!4m7!3m6!1s0x47bc590fc50a086b:0x1b9d969f521bb067!8m2!3d50.594561!4d8.709308!16s%2Fg%2F11jt268kpw!19sChIJawgKxQ9ZvEcRZ7AbUp-WnRs?authuser=0&hl=de&rclk=1
39,Das Kampfkunstzentrum - Gießen,35390,,4.6,9,6–10,6,10,8,47.06,2.906,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Das+Kampfkunstzentrum+-+Gie%C3%9Fen/data=!4m7!3m6!1s0x47bc592bc4b2836b:0x37108943af28f912!8m2!3d50.5770772!4d8.663372!16s%2Fg%2F11x0yntfvg!19sChIJa4OyxCtZvEcREvkor0OJEDc?authuser=0&hl=de&rclk=1
40,REYNABİ DÖNER Grünbergerstraße,35390,,4.8,1210,2–5,2,5,3.5,0.29,4.789,Zwei bis fünf Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/REYNAB%C4%B0+D%C3%96NER+Gr%C3%BCnbergerstra%C3%9Fe/data=!4m7!3m6!1s0x47bc58a2d8a8188b:0x88538ccd0e8f6e33!8m2!3d50.5861875!4d8.6963511!16s%2Fg%2F11bwl3krnk!19sChIJixio2KJYvEcRM26PDs2MU4g?authuser=0&hl=de&rclk=1
41,REYNABİ DÖNER Dammstraße,35390,,4.8,626,2–5,2,5,3.5,0.56,4.779,Zwei bis fünf Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/REYNAB%C4%B0+D%C3%96NER+Dammstra%C3%9Fe/data=!4m7!3m6!1s0x47bc595cd286f513:0x5201f4af376dba9c!8m2!3d50.5883678!4d8.6741928!16s%2Fg%2F11fntf4k8d!19sChIJE_WG0lxZvEcRnLptN6_0AVI?authuser=0&hl=de&rclk=1
42,Damaskus-Shisha Shop / Dampfwerk24.de,35390,,4.8,238,2–5,2,5,3.5,1.45,4.745,Zwei bis fünf Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Damaskus-Shisha+Shop+%2F+Dampfwerk24.de/data=!4m7!3m6!1s0x47bc58eac672b2d1:0xb4d3e2a78e8767ac!8m2!3d50.5861144!4d8.6717456!16s%2Fg%2F1v3gr06f!19sChIJ0bJyxupYvEcRrGeHjqfi07Q?authuser=0&hl=de&rclk=1
43,Friseursalon Gießen MEN Haarstylisten,35390,,4.8,213,2–5,2,5,3.5,1.62,4.739,Zwei bis fünf Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Friseursalon+Gie%C3%9Fen+MEN+Haarstylisten/data=!4m7!3m6!1s0x47bc58c265a111d5:0x8cb61979332d6cc1!8m2!3d50.5861008!4d8.6724177!16s%2Fg%2F11c1q9t3fr!19sChIJ1RGhZcJYvEcRwWwtM3kZtow?authuser=0&hl=de&rclk=1
44,Schönheitszentrum Mittelhessen,35390,,4.9,152,2–5,2,5,3.5,2.25,4.812,Zwei bis fünf Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Sch%C3%B6nheitszentrum+Mittelhessen/data=!4m7!3m6!1s0x47bc59bfe8f6a33d:0xbc54be04364ff5c0!8m2!3d50.5803102!4d8.6754937!16s%2Fg%2F11f6dtm0wz!19sChIJPaP26L9ZvEcRwPVPNgS-VLw?authuser=0&hl=de&rclk=1
45,KopfKultur,35390,,4.8,150,2–5,2,5,3.5,2.28,4.713,Zwei bis fünf Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/KopfKultur/data=!4m7!3m6!1s0x47bc58c18c69286d:0xebcb39be97af1d3f!8m2!3d50.5865488!4d8.6756092!16s%2Fg%2F1tdz3yk_!19sChIJbShpjMFYvEcRPx2vl745y-s?authuser=0&hl=de&rclk=1
46,Pablo | Dein Pizza Dealer,35390,,4.5,146,2–5,2,5,3.5,2.34,4.418,Zwei bis fünf Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Pablo+%7C+Dein+Pizza+Dealer/data=!4m7!3m6!1s0x47bc59006aec5289:0x194c3af3eaedec59!8m2!3d50.5826833!4d8.6674015!16s%2Fg%2F11w367sddc!19sChIJiVLsagBZvEcRWezt6vM6TBk?authuser=0&hl=de&rclk=1
47,Schnitzelhaus,35390,,3.9,141,2–5,2,5,3.5,2.42,3.83,Zwei bis fünf Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Schnitzelhaus/data=!4m7!3m6!1s0x47bc58fad2b8a0f1:0xd7990270cadc664f!8m2!3d50.5755244!4d8.6625117!16s%2Fg%2F1xb2cp7l!19sChIJ8aC40vpYvEcRT2bcynACmdc?authuser=0&hl=de&rclk=1
48,Zum Schnitt,35390,,4.8,87,2–5,2,5,3.5,3.87,4.653,Zwei bis fünf Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Zum+Schnitt/data=!4m7!3m6!1s0x47bc59ac1ed6a92f:0xbbc2dffa301c0f23!8m2!3d50.5888382!4d8.6647678!16s%2Fg%2F11r3thg389!19sChIJL6nWHqxZvEcRIw8cMPrfwrs?authuser=0&hl=de&rclk=1
49,Unikat Gießen – Premium Friseur ohne Termin | Stil & Präzision,35390,,4.8,67,2–5,2,5,3.5,4.96,4.611,Zwei bis fünf Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Unikat+Gie%C3%9Fen+%E2%80%93+Premium+Friseur+ohne+Termin+%7C+Stil+%26+Pr%C3%A4zision/data=!4m7!3m6!1s0x47bc59c353f8ca17:0xeb359d05d850fc75!8m2!3d50.5853021!4d8.6717033!16s%2Fg%2F11t9wjxc0k!19sChIJF8r4U8NZvEcRdfxQ2AWdNes?authuser=0&hl=de&rclk=1
50,burgerme Gießen,35390,,4.7,32,2–5,2,5,3.5,9.86,4.335,Zwei bis fünf Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/burgerme+Gie%C3%9Fen/data=!4m7!3m6!1s0x47bc59f72c343207:0xfbf7fa3c1868e18b!8m2!3d50.5821971!4d8.6694836!16s%2Fg%2F11yg_fth5t!19sChIJBzI0LPdZvEcRi-FoGDz69_s?authuser=0&hl=de&rclk=1
51,Kelmendi Giessen Balkan Spezialitãten,35390,,4.9,20,2–5,2,5,3.5,14.89,4.319,Zwei bis fünf Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Kelmendi+Giessen+Balkan+Spezialit%C3%A3ten/data=!4m7!3m6!1s0x47bc5f535df67221:0x1f4e028b2c6a9942!8m2!3d50.6048403!4d8.7072201!16s%2Fg%2F11fs_rbffb!19sChIJIXL2XVNfvEcRQplqLIsCTh8?authuser=0&hl=de&rclk=1
52,Millerhaus,35390,,4.1,3770,1,1,1,1,0.03,4.099,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Millerhaus/data=!4m7!3m6!1s0x47bc59c1193e2773:0x41e12135fb980a19!8m2!3d50.5865779!4d8.6976112!16s%2Fg%2F11b7llsx7x!19sChIJcyc-GcFZvEcRGQqY-zUh4UE?authuser=0&hl=de&rclk=1
53,Restaurant & Pizzeria Olive Gießen,35390,,4.3,1017,1,1,1,1,0.1,4.297,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/Restaurant+%26+Pizzeria+Olive+Gie%C3%9Fen/data=!4m7!3m6!1s0x47bc58983d7e9a3b:0x2f56b3b7df561a2!8m2!3d50.5822606!4d8.6949719!16s%2Fg%2F11b6vd8vwy!19sChIJO5p-PZhYvEcRomH1fTtr9QI?authuser=0&hl=de&rclk=1
54,TRINITY Club,35390,,3.8,140,1,1,1,1,0.71,3.78,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/TRINITY+Club/data=!4m7!3m6!1s0x47bc59004d0cbb77:0x611d5472de15bd52!8m2!3d50.5719257!4d8.6922462!16s%2Fg%2F11vrqmnpxl!19sChIJd7sMTQBZvEcRUr0V3nJUHWE?authuser=0&hl=de&rclk=1
55,New'Ro Kitchen,35390,,4.9,61,1,1,1,1,1.61,4.837,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/New%27Ro+Kitchen/data=!4m7!3m6!1s0x47bc59002a32878f:0xf6fa901b14d4dea3!8m2!3d50.5841001!4d8.6712069!16s%2Fg%2F11yl8mp22y!19sChIJj4cyKgBZvEcRo97UFBuQ-vY?authuser=0&hl=de&rclk=1
56,SPORT-HAUS Gießen,35390,,5,54,1,1,1,1,1.82,4.927,Eine Bewertung aufgrund einer Beschwerde wegen Diffamierung entfernt.,https://www.google.com/maps/place/SPORT-HAUS+Gie%C3%9Fen/data=!4m7!3m6!1s0x47bc59d68e26eb1b:0x5f4f25f9329c1f9d!8m2!3d50.5741559!4d8.6547234!16s%2Fg%2F11qnvlj61v!19sChIJG-smjtZZvEcRnR-cMvklT18?authuser=0&hl=de&rclk=1
