id,name,postcode,address,rating,reviewCount,category,lat,lng,bezirkId,bezirkName,hasDefamationNotice,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url,readAt,placeState,status,error
0x47bc594a1a53ff25:0xe87a5ac4d473c64e,Kabul Restaurant,35390,,,,,50.5880272,8.6753751,,,false,,,,,,,https://www.google.com/maps/place/Kabul+Restaurant/data=!4m7!3m6!1s0x47bc594a1a53ff25:0xe87a5ac4d473c64e!8m2!3d50.5880272!4d8.6753751!16s%2Fg%2F11v9mw40n8!19sChIJJf9TGkpZvEcRTsZz1MRaeug?authuser=0&hl=de&rclk=1,2026-05-05T18:51:00Z,,error,context canceled; overview error: context canceled
0x47bc58ecaee37371:0x84d5a13d7f469817,Kaffee Wolkenlos,35390,,4.6,292,Café / Konditorei,50.5790498,8.6787003,,,false,,,,,,,https://www.google.com/maps/place/Kaffee+Wolkenlos/data=!4m7!3m6!1s0x47bc58ecaee37371:0x84d5a13d7f469817!8m2!3d50.5790498!4d8.6787003!16s%2Fg%2F1thf7p67!19sChIJcXPjruxYvEcRF5hGfz2h1YQ?authuser=0&hl=de&rclk=1,2026-05-05T18:46:52Z,active,success,
0x47bc59f1f404d331:0x90cb8cfd3ddb959b,KaffeeFleck Gießen,35390,,4.9,27,Café / Konditorei,50.5832801,8.6712059,,,false,,,,,,,https://www.google.com/maps/place/KaffeeFleck+Gie%C3%9Fen/data=!4m7!3m6!1s0x47bc59f1f404d331:0x90cb8cfd3ddb959b!8m2!3d50.5832801!4d8.6712059!16s%2Fg%2F11qh6_gvb5!19sChIJMdME9PFZvEcRm5XbPf2My5A?authuser=0&hl=de&rclk=1,2026-05-05T18:46:27Z,active,success,
0x47bc59d67b199cd7:0x710a630fcfb9209b,Kaffeeschreinerei Café und Röstereishop,35390,,5,23,Café / Konditorei,50.5858119,8.6703389,,,false,,,,,,,https://www.google.com/maps/place/Kaffeeschreinerei+Caf%C3%A9+und+R%C3%B6stereishop/data=!4m7!3m6!1s0x47bc59d67b199cd7:0x710a630fcfb9209b!8m2!3d50.5858119!4d8.6703389!16s%2Fg%2F11mzfdt24b!19sChIJ15wZe9ZZvEcRmyC5zw9jCnE?authuser=0&hl=de&rclk=1,2026-05-05T18:46:07Z,active,success,
0x47bc58c3dc1a062b:0x72bdbe019be2b398,Keyf-i Mangal,35390,,,,,50.5885817,8.6754327,,,false,,,,,,,https://www.google.com/maps/place/Keyf-i+Mangal/data=!4m7!3m6!1s0x47bc58c3dc1a062b:0x72bdbe019be2b398!8m2!3d50.5885817!4d8.6754327!16s%2Fg%2F11c1pgkh9q!19sChIJKwYa3MNYvEcRmLPimwG-vXI?authuser=0&hl=de&rclk=1,2026-05-05T18:49:18Z,,error,context canceled; overview error: context canceled
0x47bc58e85f3be3a7:0x65123035f6d530cb,Kim Kim,35390,,,,,50.5829905,8.6692412,,,false,,,,,,,https://www.google.com/maps/place/Kim+Kim/data=!4m7!3m6!1s0x47bc58e85f3be3a7:0x65123035f6d530cb!8m2!3d50.5829905!4d8.6692412!16s%2Fg%2F1q5hrhb09!19sChIJp-M7X-hYvEcRyzDV9jUwEmU?authuser=0&hl=de&rclk=1,2026-05-05T18:53:43Z,,error,context canceled; overview error: context canceled
0x47bc58c3d297d1a1:0x5ca81204f5d93db9,Kim Phat Sushibar,35390,,,,,50.5877919,8.6748882,,,false,,,,,,,https://www.google.com/maps/place/Kim+Phat+Sushibar/data=!4m7!3m6!1s0x47bc58c3d297d1a1:0x5ca81204f5d93db9!8m2!3d50.5877919!4d8.6748882!16s%2Fg%2F11xdltgkm!19sChIJodGX0sNYvEcRuT3Z9QQSqFw?authuser=0&hl=de&rclk=1,2026-05-05T18:52:41Z,,error,context canceled; overview error: context canceled
0x47bc58b7abec960b:0x26b3e926d8659b34,King of Kebap,35390,,,,,50.5966972,8.6881479,,,false,,,,,,,https://www.google.com/maps/place/King+of+Kebap/data=!4m7!3m6!1s0x47bc58b7abec960b:0x26b3e926d8659b34!8m2!3d50.5966972!4d8.6881479!16s%2Fg%2F11c1plz9k3!19sChIJC5bsq7dYvEcRNJtl2CbpsyY?authuser=0&hl=de&rclk=1,2026-05-05T18:54:30Z,,error,context canceled; overview error: context canceled
0x47bc58c19e0e7bb7:0x2aa4effa088a61bf,"Klein & Fein, la piccola Italia, Wein, Feinkost aus Italien",35390,,,,,50.5877778,8.6766667,,,false,,,,,,,"https://www.google.com/maps/place/Klein+%26+Fein,+la+piccola+Italia,+Wein,+Feinkost+aus+Italien/data=!4m7!3m6!1s0x47bc58c19e0e7bb7:0x2aa4effa088a61bf!8m2!3d50.5877778!4d8.6766667!16s%2Fg%2F12lkd4_f9!19sChIJt3sOnsFYvEcRv2GKCPrvpCo?authuser=0&hl=de&rclk=1",2026-05-05T18:53:49Z,,error,context canceled; overview error: context canceled
0x47bc58bb5c63cf07:0x6e8b195fe5d75308,Klein Paulsen,35390,,,,,50.589289,8.6948004,,,false,,,,,,,https://www.google.com/maps/place/Klein+Paulsen/data=!4m7!3m6!1s0x47bc58bb5c63cf07:0x6e8b195fe5d75308!8m2!3d50.589289!4d8.6948004!16s%2Fg%2F11f53l0t2_!19sChIJB89jXLtYvEcRCFPX5V8Zi24?authuser=0&hl=de&rclk=1,2026-05-05T18:48:51Z,,error,context canceled; overview error: context canceled
